survey_long,file,variable,description,sheet,population,definition
Nutrition & Physical Activity Survey,AHSnpa11bp,B12S1,B12 (supplement) Day 1 µg,Risk factors - Nutrition,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,B12S2,B12 (supplement) Day 2 µg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,VITCS1,Vitamin C (supplement) Day 1 mg,Risk factors - Nutrition,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,VITCS2,Vitamin C (supplement) Day 2 mg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,VITES1,Vitamin E (supplement) Day 1 mg,Risk factors - Nutrition,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,VITES2,Vitamin E (supplement) Day 2 mg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,CALCS1,Calcium (supplement) Day 1 mg,Risk factors - Nutrition,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,CALCS2,Calcium (supplement) Day 2 mg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,IODINES1,Iodine (supplement) Day 1 µg,Risk factors - Nutrition,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,IODINES2,Iodine (supplement) Day 2 µg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,IRONS1,Iron (supplement) Day 1 mg,Risk factors - Nutrition,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,IRONS2,Iron (supplement) Day 2 mg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,MAGS1,Magnesium (supplement) Day 1 mg,Risk factors - Nutrition,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,MAGS2,Magnesium (supplement) Day 2 mg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,PHOSS1,Phosphorus (supplement) Day 1 mg,Risk factors - Nutrition,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,PHOSS2,Phosphorus (supplement) Day 2 mg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,POTASS1,Potassium (supplement) Day 1 mg,Risk factors - Nutrition,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,POTASS2,Potassium (supplement) Day 2 mg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,SELS1,Selenium (supplement) Day 1 µg,Risk factors - Nutrition,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,SELS2,Selenium (supplement) Day 2 µg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,SODIUMS1,Sodium (supplement) Day 1 mg,Risk factors - Nutrition,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,SODIUMS2,Sodium (supplement) Day 2 mg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,ZINCS1,Zinc (supplement) Day 1 mg,Risk factors - Nutrition,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,ZINCS2,Zinc (supplement) Day 2 mg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,CAFFS1,Caffeine (supplement) Day 1 mg,Risk factors - Nutrition,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,CAFFS2,Caffeine (supplement) Day 2 mg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,CHOLS1,Cholesterol (supplement) Day 1 mg,Risk factors - Nutrition,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,CHOLS2,Cholesterol (supplement) Day 2 mg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,SATFATS1,Saturated Fat (supplement) Day 1 g,Risk factors - Nutrition,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,SATFATS2,Saturated Fat (supplement) Day 2 g,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,MUFATS1,Monounsaturated Fat (supplement) Day 1 g,Risk factors - Nutrition,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,MUFATS2,Monounsaturated Fat (supplement) Day 2 g,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,PUFATS1,Polyunsaturated Fat (supplement) Day 1 g,Risk factors - Nutrition,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,PUFATS2,Polyunsaturated Fat (supplement) Day 2 g,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,LAS1,Linoleic Acid (supplement) Day 1 g,Risk factors - Nutrition,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,LAS2,Linoleic Acid (supplement) Day 2 g,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,ALAS1,Alpha-linolenic Acid (supplement) Day 1 g,Risk factors - Nutrition,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,ALAS2,Alpha-linolenic Acid (supplement) Day 2 g,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,LCN3S1,Omega 3 (supplement) Day 1 mg,Risk factors - Nutrition,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,LCN3S2,Omega 3 (supplement) Day 2 mg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,TRANSS1,Trans Fatty Acids (supplement) Day 1 mg,Risk factors - Nutrition,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,TRANSS2,Trans Fatty Acids (supplement) Day 2 mg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,ATEMLSCT,"Whether the amount eaten yesterday was more, less or about the same as usual (CATI)",Risk factors - Nutrition,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,FLIMPNUT,Flag for imputed food records,Risk factors - Nutrition,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,ABSHID,Household identifier,Administrative items,All levels,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,ABSPID,Selected person identifier,Administrative,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,LEVELP,Record level identifier for Persons,Administrative items,Person,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,DAY1,Day of month for recall Day1,Interview details,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,DAY2,Day of month for recall Day2,Interview details,All persons who completed second (CATI) interview,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,MONTH1,Month of recall Day1,Interview details,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,MONTH2,Month of recall Day2,Interview details,All persons who completed second (CATI) interview,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,YEAR1,Year of recall Day1,Interview details,All persons,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,YEAR2,Year of recall Day2,Interview details,All persons who completed second (CATI) interview,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,W2M0101,Replicate weights day 2 person level - curf (01),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,W2M0102,Replicate weights day 2 person level - curf (02),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,W2M0103,Replicate weights day 2 person level - curf (03),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,W2M0104,Replicate weights day 2 person level - curf (04),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,W2M0105,Replicate weights day 2 person level - curf (05),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,W2M0106,Replicate weights day 2 person level - curf (06),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,W2M0107,Replicate weights day 2 person level - curf (07),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,W2M0108,Replicate weights day 2 person level - curf (08),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,W2M0109,Replicate weights day 2 person level - curf (09),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,W2M0110,Replicate weights day 2 person level - curf (10),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,W2M0111,Replicate weights day 2 person level - curf (11),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,W2M0112,Replicate weights day 2 person level - curf (12),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,W2M0113,Replicate weights day 2 person level - curf (13),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,W2M0114,Replicate weights day 2 person level - curf (14),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,W2M0115,Replicate weights day 2 person level - curf (15),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,W2M0116,Replicate weights day 2 person level - curf (16),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,W2M0117,Replicate weights day 2 person level - curf (17),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,W2M0118,Replicate weights day 2 person level - curf (18),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,W2M0119,Replicate weights day 2 person level - curf (19),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,W2M0120,Replicate weights day 2 person level - curf (20),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,W2M0121,Replicate weights day 2 person level - curf (21),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,W2M0122,Replicate weights day 2 person level - curf (22),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,W2M0123,Replicate weights day 2 person level - curf (23),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,W2M0124,Replicate weights day 2 person level - curf (24),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,W2M0125,Replicate weights day 2 person level - curf (25),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,W2M0126,Replicate weights day 2 person level - curf (26),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,W2M0127,Replicate weights day 2 person level - curf (27),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,W2M0128,Replicate weights day 2 person level - curf (28),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,W2M0129,Replicate weights day 2 person level - curf (29),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,W2M0130,Replicate weights day 2 person level - curf (30),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,W2M0131,Replicate weights day 2 person level - curf (31),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,W2M0132,Replicate weights day 2 person level - curf (32),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,W2M0133,Replicate weights day 2 person level - curf (33),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,W2M0134,Replicate weights day 2 person level - curf (34),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,W2M0135,Replicate weights day 2 person level - curf (35),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,W2M0136,Replicate weights day 2 person level - curf (36),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,W2M0137,Replicate weights day 2 person level - curf (37),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,W2M0138,Replicate weights day 2 person level - curf (38),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,W2M0139,Replicate weights day 2 person level - curf (39),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,W2M0140,Replicate weights day 2 person level - curf (40),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,W2M0141,Replicate weights day 2 person level - curf (41),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,W2M0142,Replicate weights day 2 person level - curf (42),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,W2M0143,Replicate weights day 2 person level - curf (43),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,W2M0144,Replicate weights day 2 person level - curf (44),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,W2M0145,Replicate weights day 2 person level - curf (45),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,W2M0146,Replicate weights day 2 person level - curf (46),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,W2M0147,Replicate weights day 2 person level - curf (47),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,W2M0148,Replicate weights day 2 person level - curf (48),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,W2M0149,Replicate weights day 2 person level - curf (49),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,W2M0150,Replicate weights day 2 person level - curf (50),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,W2M0151,Replicate weights day 2 person level - curf (51),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,W2M0152,Replicate weights day 2 person level - curf (52),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,W2M0153,Replicate weights day 2 person level - curf (53),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,W2M0154,Replicate weights day 2 person level - curf (54),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,W2M0155,Replicate weights day 2 person level - curf (55),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,W2M0156,Replicate weights day 2 person level - curf (56),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,W2M0157,Replicate weights day 2 person level - curf (57),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,W2M0158,Replicate weights day 2 person level - curf (58),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,W2M0159,Replicate weights day 2 person level - curf (59),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,W2M0160,Replicate weights day 2 person level - curf (60),NA,NA,NA
Nutrition & Physical Activity Survey,AHSnpa11bp,NPAD2WGT,Person day 2 weight PAA,Administrative items,Person,X
Nutrition & Physical Activity Survey,AHSnpa11bp,GRAINS1N,"Grains and cereals (day 1, non-discretionary) (serves)",Risk factors - Nutrition,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bp,WHOLGR1N,"Wholegrain or high fibre cereal/grains (day 1, non-discretionary) (serves)",Risk factors - Nutrition,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bp,REFGRA1N,"Refined or lower fibre cereals/grains (day 1, non-discretionary) (serves)",Risk factors - Nutrition,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bp,VEGLEG1N,"Vegetables and legumes/beans (day 1, non-discretionary) (serves)",Risk factors - Nutrition,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bp,GREENS1N,"Green and brassica vegetables (day 1, non-discretionary) (serves)",Risk factors - Nutrition,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bp,VGORSV1N,"Orange vegetables (day 1, non-discretionary) (serves)",Risk factors - Nutrition,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bp,STARCH1N,"Starchy vegetables (day 1, non-discretionary) (serves)",Risk factors - Nutrition,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bp,LEGVEG1N,"Legumes as a vegetable (day 1, non-discretionary) (serves)",Risk factors - Nutrition,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bp,OTHVEG1N,"Other vegetables (day 1, non-discretionary) (serves)",Risk factors - Nutrition,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bp,FRUIT1N,"Fruit (day 1, non-discretionary) (serves)",Risk factors - Nutrition,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bp,FRSHF1N,"Fresh/canned fruit (day 1, non-discretionary) (serves)",Risk factors - Nutrition,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bp,DRFR1N,"Dried fruit (day 1, non-discretionary) (serves)",Risk factors - Nutrition,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bp,FRJUIC1N,"Fruit juice (day 1, non-discretionary) (serves)",Risk factors - Nutrition,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bp,DAIRY1N,"Milk, yoghurt, cheese and/or alternatives (day 1, non-discretionary) (serves)",Risk factors - Nutrition,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bp,DAIRHF1N,"Higher fat dairy foods (>10% fat) (day 1, non-discretionary) (serves)",Risk factors - Nutrition,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bp,DAIRMF1N,"Medium fat dairy foods (4-10 pc. fat) (day 1, non-discretionary) (serves)",Risk factors - Nutrition,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bp,DAIRLF1N,"Lower fat dairy foods (<4% fat) (day 1, non-discretionary) (serves)",Risk factors - Nutrition,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bp,MEAT1N,"Meat, poultry and alternatives (day 1, non-discretionary) (serves)",Risk factors - Nutrition,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bp,MEATL1N,"Meats, poultry and alternatives, ADG criteria (day 1, non-discretionary) (serves)",Risk factors - Nutrition,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bp,MEATLD1N,"Meats, poultry and alternatives, non-ADG criteria (day 1, non-disc food source) (serves)",Risk factors - Nutrition,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bp,RDMTL1N,"Red meat, lean (day 1, non-discretionary) (serves)",Risk factors - Nutrition,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bp,RDMTLU1N,"Red meat unprocessed (<10 pc. fat) (day 1, non-discretionary) (serves)",Risk factors - Nutrition,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bp,RDMTLP1N,"Red meat processed (<10 pc fat) (day 1, non-disc food source) (serves)",Risk factors - Nutrition,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bp,RDMTN1N,"Red meat, non-lean (>=10% fat) (day 1, non-disc food source) (serves)",Risk factors - Nutrition,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bp,RDMTNU1N,"Red meat unprocessed (>=10 pc. fat) (day 1, non-disc food source) (serves)",Risk factors - Nutrition,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bp,RDMTNP1N,"Red meat processed (>=10 pc. fat) (day 1, non-disc food source) (serves)",Risk factors - Nutrition,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bp,PLTYL1N,"Poultry, lean (<10% fat) (day 1, non-disc food source) (serves)",Risk factors - Nutrition,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bp,PLTYLU1N,"Poultry unprocessed (<10 pc. fat) (day 1, non-discretionary) (serves)",Risk factors - Nutrition,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bp,PLTYLP1N,"Poultry processed (<10 pc. fat) (day 1, non-disc food source) (serves)",Risk factors - Nutrition,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bp,PLTYN1N,"Poultry, non-lean (day 1, non-disc food source) (serves)",Risk factors - Nutrition,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bp,PLTYNU1N,"Poultry unprocessed (#10 pc. fat) (day 1, non-disc food source) (serves)",Risk factors - Nutrition,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bp,PLTYNP1N,"Poultry processed (>=10 pc. fat) (day 1, non-disc food source) (serves)",Risk factors - Nutrition,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bp,RDMTT1N,"Red meat, total (day 1, non-disc food source) (serves)",Risk factors - Nutrition,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bp,RDMTTU1N,"Red meat unprocessed, total (day 1, non-disc food source) (serves)",Risk factors - Nutrition,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bp,PLTYT1N,"Poultry, total (day 1, non-disc food source) (serves)",Risk factors - Nutrition,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bp,PLTYTU1N,"Poultry unprocessed, total (day 1, non-disc food source) (serves)",Risk factors - Nutrition,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bp,FISH1N,"Fish and seafood (day 1, non-discretionary) (serves)",Risk factors - Nutrition,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bp,EGGS1N,"Eggs (day 1, non-discretionary) (serves)",Risk factors - Nutrition,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bp,LEGMT1N,"Legumes as meat alternative (day 1, non-discretionary) (serves)",Risk factors - Nutrition,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bp,NUTS1N,"Nuts and seeds (day 1, non-discretionary) (serves)",Risk factors - Nutrition,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bp,WATER1N,"Water (day 1, non-discretionary) (serves)",Risk factors - Nutrition,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bp,UNSAT1N,"Unsaturated spreads and oils (day 1, non-discretionary) (serves)",Risk factors - Nutrition,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bp,FRESUG1N,Added sugars (WHO) (day 1) (g),Risk factors - Nutrition,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bp,ADDSUG1N,Added sugars (Food Standards) (day 1) (g),Risk factors - Nutrition,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bp,MEATLG1N,"Meats, poultry and alternatives, ADG criteria (day 1, non-discretionary) (g)",Risk factors - Nutrition,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bp,MEATDG1N,"Meats, poultry and alternatives, non-ADG criteria (day 1, non-disc food source) (g)",Risk factors - Nutrition,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bp,RDMTLG1N,"Red meat, lean (day 1, non-disc food source) (g)",Risk factors - Nutrition,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bp,RDMLUG1N,"Red meat unprocessed (<10 pc. fat) (day 1, non-discretionary) (g)",Risk factors - Nutrition,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bp,RDMLPG1N,"Red meat processed (<10 pc. fat) (day 1, non-disc food source) (g)",Risk factors - Nutrition,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bp,RDMTNG1N,"Red meat, non-lean (>=10 pc. fat) (day 1, non-disc food source) (g)",Risk factors - Nutrition,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bp,RDMNUG1N,"Red meat unprocessed (>=10 pc. fat) (day 1, non-disc food source) (g)",Risk factors - Nutrition,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bp,RDMNPG1N,"Red meat processed (>=10 pc. fat) (day 1, non-disc food source) (g)",Risk factors - Nutrition,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bp,PLTYLG1N,"Poultry, lean(<10 pc. fat) (day 1, non-disc food source) (g)",Risk factors - Nutrition,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bp,PLTLUG1N,"Poultry unprocessed (<10 pc. fat) (day 1, non-discretionary) (g)",Risk factors - Nutrition,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bp,PLTLPG1N,"Poultry processed (<10 pc. fat) (day 1, non-disc food source) (g)",Risk factors - Nutrition,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bp,PLTYNG1N,"Poultry, non-lean (>=10 pc. fat) (day 1, non-disc food source) (g)",Risk factors - Nutrition,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bp,PLTNUG1N,"Poultry unprocessed (>=10 pc. fat) (day 1, non-disc food source) (g)",Risk factors - Nutrition,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bp,PLTNPG1N,"Poultry processed (>=10 pc. fat) (day 1, non-disc food source) (g)",Risk factors - Nutrition,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bp,RDMTTG1N,"Red meat, total (day 1, non-disc food source) (g)",Risk factors - Nutrition,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bp,RDMTUG1N,"Red meat unprocessed, total (day 1, non-disc food source) (g)",Risk factors - Nutrition,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bp,PLTYTG1N,"Poultry, total (day 1, non-disc food source) (g)",Risk factors - Nutrition,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bp,PLTYUG1N,"Poultry unprocessed, total (day 1, non-disc food source) (g)",Risk factors - Nutrition,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bp,WATERG1N,"Water (day 1, non-discretionary) (g)",Risk factors - Nutrition,All persons,X
Nutrition & Physical Activity Survey,AHSnpa11bp,WATERG2N,"Water (day 2, non-discretionary) (g)",Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,X
Nutrition & Physical Activity Survey,AHSnpa11bp,GRAINS2N,"Grains and cereals (day 2, non-discretionary) (serves)",Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,X
Nutrition & Physical Activity Survey,AHSnpa11bp,VEGLEG2N,"Vegetables and legumes/beans (day 2, non-discretionary) (serves)",Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,X
Nutrition & Physical Activity Survey,AHSnpa11bp,FRUIT2N,"Fruit (day 2, non-discretionary) (serves)",Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,X
Nutrition & Physical Activity Survey,AHSnpa11bp,FRSHF2N,"Fresh/canned fruit (day 2, non-discretionary) (serves)",Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,X
Nutrition & Physical Activity Survey,AHSnpa11bp,MEAT2N,"Meat, poultry and alternatives (day 2, non-discretionary) (serves)",Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,X
Nutrition & Physical Activity Survey,AHSnpa11bp,DAIRY2N,"Milk, yoghurt, cheese and/or alternatives (day 2, non-discretionary) (serves)",Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,X
Nutrition & Physical Activity Survey,AHSnpa11bp,MEATLD2N,"Meats, poultry and alternatives, non-ADG criteria (day 2, non-disc food source) (serves)",Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,X
Nutrition & Physical Activity Survey,AHSnpa11bp,MEATL2N,"Meats, poultry and alternatives, ADG criteria (day 2, non-discretionary) (serves)",Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,X
Nutrition & Physical Activity Survey,AHSnpa11bp,WATER2N,"Water (day 2, non-discretionary) (serves)",Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,X
Nutrition & Physical Activity Survey,AHSnpa11bp,UNSAT2N,"Unsaturated spreads and oils (day 2, non-discretionary) (serves)",Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,X
Nutrition & Physical Activity Survey,AHSnpa11bp,FRESUG2N,Added sugars (WHO) (day 2) (g),Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,X
Nutrition & Physical Activity Survey,AHSnpa11bp,ADDSUG2N,Added sugars (Food Standards) (day 2) (g),Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,X
