survey_long,file,variable,description,sheet,population,definition
National Health Survey,AHSnhs11bsp,HEAL12MF,Actions taken for health in last 12 months (F),NA,NA,NA
National Health Survey,AHSnhs11bsp,HEAL12MG,Actions taken for health in last 12 months (G),NA,NA,NA
National Health Survey,AHSnhs11bsp,HEAL12MH,Actions taken for health in last 12 months (H),NA,NA,NA
National Health Survey,AHSnhs11bsp,HEAL12MI,Actions taken for health in last 12 months (I),NA,NA,NA
National Health Survey,AHSnhs11bsp,HEAL12MJ,Actions taken for health in last 12 months (J),NA,NA,NA
National Health Survey,AHSnhs11bsp,HEAL12MK,Actions taken for health in last 12 months (K),NA,NA,NA
National Health Survey,AHSnhs11bsp,HEAL12ML,Actions taken for health in last 12 months (L),NA,NA,NA
National Health Survey,AHSnhs11bsp,HEAL12MM,Actions taken for health in last 12 months (M),NA,NA,NA
National Health Survey,AHSnhs11bsp,HEAL12MN,Actions taken for health in last 12 months (N),NA,NA,NA
National Health Survey,AHSnhs11bsp,HEAL12MO,Actions taken for health in last 12 months (O),NA,NA,NA
National Health Survey,AHSnhs11bsp,HEAL12MP,Actions taken for health in last 12 months (P),NA,NA,NA
National Health Survey,AHSnhs11bsp,HEAL12MQ,Actions taken for health in last 12 months (Q),NA,NA,NA
National Health Survey,AHSnhs11bsp,HEAL12MR,Actions taken for health in last 12 months (R),NA,NA,NA
National Health Survey,AHSnhs11bsp,HEAL12MS,Actions taken for health in last 12 months (S),NA,NA,NA
National Health Survey,AHSnhs11bsp,HEAL12MT,Actions taken for health in last 12 months (T),NA,NA,NA
National Health Survey,AHSnhs11bsp,HEAL12MU,Actions taken for health in last 12 months (U),NA,NA,NA
National Health Survey,AHSnhs11bsp,HEAL12MV,Actions taken for health in last 12 months (V),NA,NA,NA
National Health Survey,AHSnhs11bsp,HEAL12MW,Actions taken for health in last 12 months (W),NA,NA,NA
National Health Survey,AHSnhs11bsp,HEAL12MX,Actions taken for health in last 12 months (X),NA,NA,NA
National Health Survey,AHSnhs11bsp,HEAL12MY,Actions taken for health in last 12 months (Y),NA,NA,NA
National Health Survey,AHSnhs11bsp,HEAL2WKA,Actions taken for health in the last 2 weeks (excl dentist) (A),NA,NA,NA
National Health Survey,AHSnhs11bsp,HEAL2WKB,Actions taken for health in the last 2 weeks (excl dentist) (B),NA,NA,NA
National Health Survey,AHSnhs11bsp,HEAL2WKC,Actions taken for health in the last 2 weeks (excl dentist) (C),NA,NA,NA
National Health Survey,AHSnhs11bsp,HEAL2WKD,Actions taken for health in the last 2 weeks (excl dentist) (D),NA,NA,NA
National Health Survey,AHSnhs11bsp,HEAL2WKE,Actions taken for health in the last 2 weeks (excl dentist) (E),NA,NA,NA
National Health Survey,AHSnhs11bsp,HEAL2WKF,Actions taken for health in the last 2 weeks (excl dentist) (F),NA,NA,NA
National Health Survey,AHSnhs11bsp,HEAL2WKG,Actions taken for health in the last 2 weeks (excl dentist) (G),NA,NA,NA
National Health Survey,AHSnhs11bsp,HEAL2WKH,Actions taken for health in the last 2 weeks (excl dentist) (H),NA,NA,NA
National Health Survey,AHSnhs11bsp,HEAL2WKI,Actions taken for health in the last 2 weeks (excl dentist) (I),NA,NA,NA
National Health Survey,AHSnhs11bsp,HEAL2WKJ,Actions taken for health in the last 2 weeks (excl dentist) (J),NA,NA,NA
National Health Survey,AHSnhs11bsp,HEAL2WKK,Actions taken for health in the last 2 weeks (excl dentist) (K),NA,NA,NA
National Health Survey,AHSnhs11bsp,HEAL2WKL,Actions taken for health in the last 2 weeks (excl dentist) (L),NA,NA,NA
National Health Survey,AHSnhs11bsp,HEAL2WKM,Actions taken for health in the last 2 weeks (excl dentist) (M),NA,NA,NA
National Health Survey,AHSnhs11bsp,HEAL2WKN,Actions taken for health in the last 2 weeks (excl dentist) (N),NA,NA,NA
National Health Survey,AHSnhs11bsp,HEAL2WKO,Actions taken for health in the last 2 weeks (excl dentist) (O),NA,NA,NA
National Health Survey,AHSnhs11bsp,HEAL2WKP,Actions taken for health in the last 2 weeks (excl dentist) (P),NA,NA,NA
National Health Survey,AHSnhs11bsp,HEAL2WKQ,Actions taken for health in the last 2 weeks (excl dentist) (Q),NA,NA,NA
